part_number,pred_day,train_evaluate,val_evaluate,test_evaluate,mae,mse,rmse
6.0,1.0,0.8000174939465237,-13.889730010384216,-1.784503990877993,9.16,122.10049999999998,11.04990950189186
6.0,2.0,0.8641688040760976,-7.20130602688074,-3.322783768444949,11.988888888888889,188.06777777777774,13.71378057932158
6.0,3.0,0.8080561769690127,-9.567820007149004,-4.961332844621011,14.258641975308642,259.3547770919067,16.104495555338165
6.0,4.0,0.8770335100080517,-3.9635578362114092,-3.74804382253469,12.534444444444446,206.56921519274383,14.372515965993701
6.0,5.0,0.81743095345518,-0.17383045525902752,-1.9682497857258685,8.647619047619049,129.13718820861678,11.363854460904397
6.0,6.0,0.39981528391569754,-6.823717948717949,-2.7527880249716232,11.41111111111111,163.2694444444444,12.777693236435299
6.0,7.0,0.07854477920771907,0.3463636363636362,-1.568551387787838,8.968055555555553,106.87581790123453,10.338076121853357
15.0,1.0,0.9105489048027268,-19.998518518518516,-0.32977738260962974,5.7216547619047615,72.55265399518142,8.517784570836563
15.0,2.0,0.8445558514602773,-2.7559198148391966,-1.155655172413792,9.2,123.4844444444444,11.112355485874469
15.0,3.0,0.8450262096834251,-2.757056749650091,-0.6382521551724141,8.744444444444445,93.84555555555555,9.687391576454187
15.0,4.0,0.8423819231632624,-3.65760910436029,-0.5113663463230123,7.8198412698412705,86.57703514739231,9.30467813239084
15.0,5.0,0.6256625473309081,-0.5673668331252597,-2.43615948275862,11.251851851851852,196.83679012345675,14.02985353178916
15.0,6.0,0.5764902292620988,-3.4363295880149813,-1.8485969827586217,10.966666666666669,163.1788888888889,12.77414924325252
15.0,7.0,0.4134858945322545,-3.0161610844865656,0.46979341004184116,4.65,31.679843750000003,5.62848503151603
16.0,1.0,0.7440524246542122,-0.9586552631578953,-0.19239199491740822,6.5699999999999985,75.07299999999998,8.664467669741747
16.0,2.0,0.5398913725072918,-0.28263241639697934,-6.33483442354865,16.233333333333334,442.9877777777778,21.047274830195423
16.0,3.0,0.5166782050710035,-0.7116808252427187,-2.6486426819296813,12.855555555555554,220.36,14.844527611210806
16.0,4.0,0.5534622476957707,-31.89898517722878,-6.016412510220769,18.788888888888884,423.7566666666666,20.585350778324536
16.0,5.0,0.5759043242900127,-19.111819269247487,-4.816216496685981,16.68203463203463,351.2707543430595,18.74221850110225
16.0,6.0,0.32231390794757675,-89.50315789473684,-8.456699662975367,21.955952380952382,571.1379598922903,23.8984928372542
16.0,7.0,0.1406286014000011,-92.52722878625134,-6.740695288951672,18.018030753968254,421.8678932478663,20.53942290445051
29.0,1.0,0.8671336506260308,-26.309521126760554,-0.7871601208459218,9.559999999999992,94.64799999999983,9.728720368064847
29.0,2.0,0.7139168512132018,-1.6566250000000005,-3.594883013839069,14.38452380952381,265.9359452947847,16.307542589083884
29.0,3.0,0.7134511181774823,-6.80071989795918,-9.472026494044716,22.55714285714286,606.0846938775512,24.61878741688045
29.0,4.0,0.6852838860996172,-0.567254746835443,-0.6147889558447102,8.252777777777775,93.45840277777774,9.667388622465621
29.0,5.0,0.7396220174558972,-0.8347341772151904,-4.625441693173288,15.20317460317461,325.58111922958494,18.043866526595263
29.0,6.0,0.4504793700774373,-0.3400506329113928,-3.232429552766072,11.540396825396833,244.95839189342416,15.651146663852593
29.0,7.0,0.21593744592739184,0.07915407854984902,-9.162893005202081,20.93464285714284,647.8844290816319,25.453573994267128
94.0,1.0,0.9004318689501117,0.008516129032257957,0.4542249730893434,3.7300000000000004,20.28100000000001,4.503443127208337
94.0,2.0,0.8216607756008888,-0.11757425742574257,-0.18150289017341037,5.866666666666666,45.42222222222221,6.739601043253392
94.0,3.0,0.8523334598081197,-0.28242574257425734,0.016589595375722577,5.48888888888889,37.80666666666668,6.148712602380003
94.0,4.0,0.8891145948332965,-4.748525896414341,-0.5735260115606933,6.266666666666667,60.493333333333325,7.777746031681243
94.0,5.0,0.8923105515587529,-2.4670916334661346,-0.6267052023121384,7.000000000000001,62.53777777777779,7.908083065938154
94.0,6.0,0.7126351815783653,-3.5263745019920325,-0.9409542088150289,7.754166666666666,74.61890625,8.638223558695387
94.0,7.0,0.6970774804343034,0.2516867469879519,-1.008343949044586,8.225,78.82749999999999,8.878485231164154
