part_number,0_cnt
0,38
1,37
2,2
3,12
4,2
5,2
6,2
7,4
8,4
9,4
10,2
11,26
12,13
13,29
14,2
15,2
16,2
17,2
18,2
19,10
20,2
21,5
22,2
23,37
24,2
25,14
26,5
27,2
28,2
29,2
30,3
31,16
32,24
33,3
34,3
35,8
36,20
37,3
38,3
39,3
40,23
41,3
42,4
43,13
44,25
45,35
46,16
47,5
48,9
49,23
50,3
51,3
52,18
53,3
54,3
55,18
56,3
57,3
58,3
59,3
60,3
61,3
62,7
63,3
64,3
65,3
66,3
67,3
68,7
69,3
70,3
71,3
72,5
73,17
74,5
75,5
76,9
77,17
78,17
79,22
80,17
81,17
82,17
83,17
84,17
85,6
86,19
87,5
88,13
89,29
90,5
91,5
92,3
93,34
94,0
95,0
96,34
97,2
98,8
99,12
100,11
101,21
102,3
103,2
104,2
105,26
106,2
107,2
108,8
109,34
110,33
111,45
112,45
113,44
114,44
115,46
116,40
