part_number,day,mae,mse,rmse
Part 6,1,50.125,4293.333333333333,65.52353266829661
Part 6,2,54.04255319148936,4752.765957446809,68.9403072044708
Part 6,3,57.45652173913044,5252.413043478261,72.47353339998169
Part 6,4,58.31111111111111,5440.0,73.7563556583431
Part 6,5,59.88636363636363,5696.068181818182,75.47230075874315
Part 6,6,56.372093023255815,5353.813953488372,73.16976119605948
Part 6,7,52.166666666666664,4907.5952380952385,70.05423069376495
Part 15,1,10.375,212.25,14.568802284333465
Part 15,2,12.553191489361701,275.9574468085106,16.611966975903563
Part 15,3,15.326086956521738,360.3695652173913,18.983402361468066
Part 15,4,14.2,278.46666666666664,16.687320535863947
Part 15,5,14.295454545454545,268.9318181818182,16.399140775718042
Part 15,6,15.0,317.9767441860465,17.83190242756074
Part 15,7,15.047619047619047,326.76190476190476,18.07655677284545
Part 16,1,16.166666666666668,587.1666666666666,24.23152216982389
Part 16,2,18.76595744680851,734.3404255319149,27.09871630782379
Part 16,3,21.08695652173913,897.304347826087,29.955038771900913
Part 16,4,21.355555555555554,907.2666666666667,30.120867628052594
Part 16,5,21.204545454545453,901.75,30.029152502193597
Part 16,6,20.674418604651162,906.953488372093,30.115668486223132
Part 16,7,20.261904761904763,863.8333333333334,29.391041719090758
Part 29,1,68.125,16560.416666666668,128.68728245893868
Part 29,2,93.53191489361703,28949.44680851064,170.14536963582242
Part 29,3,120.69565217391305,41204.52173913043,202.9889695011294
Part 29,4,126.35555555555555,43362.044444444444,208.2355503857217
Part 29,5,133.6818181818182,44809.0,211.68136431911054
Part 29,6,131.11627906976744,41545.58139534884,203.82733230690343
Part 29,7,128.23809523809524,38484.857142857145,196.1755773353481
Part 94,1,19.0625,513.3125,22.656400861566695
Part 94,2,18.872340425531913,521.0851063829788,22.827288634066438
Part 94,3,18.67391304347826,541.4565217391304,23.269218331072715
Part 94,4,18.8,575.8666666666667,23.997222061452586
Part 94,5,18.954545454545453,597.1363636363636,24.436373782465427
Part 94,6,19.11627906976744,611.2093023255813,24.722647558980842
Part 94,7,19.0,596.8095238095239,24.42968529902757
